name,type,start_time,duration,"mosi","miso"
"SPI","enable",2.35341475,6.24999998e-08,,
"SPI","result",2.35341794,1.9375e-06,0xFF,0xFF
"SPI","result",2.35342206,1.9375e-06,0x51,0xFF
"SPI","result",2.353436,1.9375e-06,0x00,0xFF
"SPI","result",2.35344675,1.9375e-06,0x02,0xFF
"SPI","result",2.353454,1.9375e-06,0x22,0xFF
"SPI","result",2.35345775,1.9375e-06,0x00,0xFF
"SPI","result",2.35346144,1.9375e-06,0xFF,0xFF
"SPI","result",2.35346462,1.9375e-06,0xFF,0xFF
"SPI","result",2.35346831,1.9375e-06,0xFF,0x00
"SPI","result",2.35347456,1.9375e-06,0xFF,0xFF
"SPI","result",2.35348731,1.9375e-06,0xFF,0xFF
"SPI","result",2.35349225,1.9375e-06,0xFF,0xFF
"SPI","result",2.35349719,1.9375e-06,0xFF,0xFF
"SPI","result",2.35350212,1.9375e-06,0xFF,0xFF
"SPI","result",2.35350706,1.9375e-06,0xFF,0xFF
"SPI","result",2.353512,1.9375e-06,0xFF,0xFF
"SPI","result",2.35351694,1.9375e-06,0xFF,0xFF
"SPI","result",2.35352188,1.9375e-06,0xFF,0xFF
"SPI","result",2.35352681,1.9375e-06,0xFF,0xFF
"SPI","result",2.35353175,1.9375e-06,0xFF,0xFF
"SPI","result",2.35353669,1.9375e-06,0xFF,0xFF
"SPI","result",2.35354163,1.9375e-06,0xFF,0xFF
"SPI","result",2.35354656,1.9375e-06,0xFF,0xFF
"SPI","result",2.3535515,1.9375e-06,0xFF,0xFF
"SPI","result",2.35355644,1.9375e-06,0xFF,0xFF
"SPI","result",2.35356137,1.9375e-06,0xFF,0xFF
"SPI","result",2.35357413,1.9375e-06,0xFF,0xFE
"SPI","result",2.35357881,1.9375e-06,0xFF,0x46
"SPI","result",2.35358244,1.9375e-06,0xFF,0x4C
"SPI","result",2.35358606,1.9375e-06,0xFF,0x41
"SPI","result",2.35358969,1.9375e-06,0xFF,0x47
"SPI","result",2.35359331,1.9375e-06,0xFF,0x20
"SPI","result",2.35359694,1.9375e-06,0xFF,0x20
"SPI","result",2.35360056,1.9375e-06,0xFF,0x20
"SPI","result",2.35360419,1.9375e-06,0xFF,0x20
"SPI","result",2.35360781,1.9375e-06,0xFF,0x54
"SPI","result",2.35361144,1.9375e-06,0xFF,0x58
"SPI","result",2.35361506,1.9375e-06,0xFF,0x54
"SPI","result",2.35361869,1.9375e-06,0xFF,0x00
"SPI","result",2.35362231,1.9375e-06,0xFF,0x00
"SPI","result",2.35362594,1.9375e-06,0xFF,0x00
"SPI","result",2.35362956,1.9375e-06,0xFF,0x00
"SPI","result",2.35363319,1.9375e-06,0xFF,0x08
"SPI","result",2.35363681,1.9375e-06,0xFF,0x21
"SPI","result",2.35364044,1.9375e-06,0xFF,0x28
"SPI","result",2.35364406,1.9375e-06,0xFF,0x21
"SPI","result",2.35364769,1.9375e-06,0xFF,0x28
"SPI","result",2.35365863,1.9375e-06,0xFF,0x00
"SPI","result",2.35366225,1.9375e-06,0xFF,0x00
"SPI","result",2.35366587,1.9375e-06,0xFF,0x00
"SPI","result",2.3536695,1.9375e-06,0xFF,0x08
"SPI","result",2.35367312,1.9375e-06,0xFF,0x21
"SPI","result",2.35367675,1.9375e-06,0xFF,0x28
"SPI","result",2.35368038,1.9375e-06,0xFF,0x02
"SPI","result",2.353684,1.9375e-06,0xFF,0x00
"SPI","result",2.35368763,1.9375e-06,0xFF,0x11
"SPI","result",2.35369125,1.9375e-06,0xFF,0x00
"SPI","result",2.35369487,1.9375e-06,0xFF,0x00
"SPI","result",2.3536985,1.9375e-06,0xFF,0x00
"SPI","result",2.35370212,1.9375e-06,0xFF,0x00
"SPI","result",2.35370575,1.9375e-06,0xFF,0x00
"SPI","result",2.35370938,1.9375e-06,0xFF,0x00
"SPI","result",2.353713,1.9375e-06,0xFF,0x00
"SPI","result",2.35371663,1.9375e-06,0xFF,0x00
"SPI","result",2.35372025,1.9375e-06,0xFF,0x00
"SPI","result",2.35372388,1.9375e-06,0xFF,0x00
"SPI","result",2.3537275,1.9375e-06,0xFF,0x00
"SPI","result",2.35373112,1.9375e-06,0xFF,0x00
"SPI","result",2.35374256,1.9375e-06,0xFF,0x00
