name,type,start_time,duration,"index","red","green","blue"
"Addressable LEDs (Async)","pixel",3.35656438,2.99375e-05,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",3.35659437,3e-05,0x0000000000000001,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",3.35662444,2.99375e-05,0x0000000000000002,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",3.35665444,2.99375e-05,0x0000000000000003,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",3.35668444,2.99375e-05,0x0000000000000004,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",3.35671444,2.99375e-05,0x0000000000000005,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",3.35674444,2.99375e-05,0x0000000000000006,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",3.35677444,2.9875e-05,0x0000000000000007,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",3.35712825,2.99375e-05,0x0000000000000000,0x00000000000000FF,0x00000000000000FF,0x00000000000000FF
"Addressable LEDs (Async)","pixel",3.35715825,2.99375e-05,0x0000000000000001,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",3.35718825,2.99375e-05,0x0000000000000002,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",3.35721825,2.99375e-05,0x0000000000000003,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",3.35724825,2.99375e-05,0x0000000000000004,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",3.35727825,2.99375e-05,0x0000000000000005,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",3.35730825,2.99375e-05,0x0000000000000006,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",3.35733825,2.99375e-05,0x0000000000000007,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",5.35905019,2.99375e-05,0x0000000000000000,0x0000000000000000,0x00000000000000FF,0x0000000000000000
"Addressable LEDs (Async)","pixel",5.35908019,2.99375e-05,0x0000000000000001,0x0000000000000013,0x0000000000000041,0x000000000000009E
"Addressable LEDs (Async)","pixel",5.35911019,3e-05,0x0000000000000002,0x0000000000000026,0x0000000000000043,0x00000000000000AF
"Addressable LEDs (Async)","pixel",5.35914025,2.99375e-05,0x0000000000000003,0x00000000000000C5,0x0000000000000053,0x0000000000000072
"Addressable LEDs (Async)","pixel",5.35917025,2.99375e-05,0x0000000000000004,0x0000000000000044,0x0000000000000049,0x00000000000000BC
"Addressable LEDs (Async)","pixel",5.35920025,2.99375e-05,0x0000000000000005,0x000000000000006D,0x000000000000007B,0x0000000000000078
"Addressable LEDs (Async)","pixel",5.35923025,2.99375e-05,0x0000000000000006,0x0000000000000050,0x000000000000006E,0x0000000000000066
"Addressable LEDs (Async)","pixel",5.35926025,2.9875e-05,0x0000000000000007,0x000000000000002F,0x0000000000000030,0x0000000000000066
"Addressable LEDs (Async)","pixel",8.35994181,2.99375e-05,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",8.35997181,2.99375e-05,0x0000000000000001,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",8.36000181,2.99375e-05,0x0000000000000002,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",8.36003181,3e-05,0x0000000000000003,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",8.36006187,2.99375e-05,0x0000000000000004,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",8.36009188,2.99375e-05,0x0000000000000005,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",8.36012188,2.99375e-05,0x0000000000000006,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",8.36015187,2.9875e-05,0x0000000000000007,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",8.36049244,2.99375e-05,0x0000000000000000,0x00000000000000FF,0x00000000000000FF,0x00000000000000FF
"Addressable LEDs (Async)","pixel",8.36052244,2.99375e-05,0x0000000000000001,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",8.36055244,2.99375e-05,0x0000000000000002,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",8.36058244,2.99375e-05,0x0000000000000003,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",8.36061244,2.99375e-05,0x0000000000000004,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",8.36064244,2.99375e-05,0x0000000000000005,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",8.36067244,2.99375e-05,0x0000000000000006,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",8.36070244,2.9875e-05,0x0000000000000007,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",10.3624004,2.99375e-05,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x00000000000000FF
"Addressable LEDs (Async)","pixel",10.3624304,2.99375e-05,0x0000000000000001,0x000000000000008E,0x000000000000004F,0x0000000000000074
"Addressable LEDs (Async)","pixel",10.3624604,2.99375e-05,0x0000000000000002,0x00000000000000A0,0x0000000000000034,0x000000000000005F
"Addressable LEDs (Async)","pixel",10.3624904,2.99375e-05,0x0000000000000003,0x0000000000000003,0x000000000000007C,0x0000000000000076
"Addressable LEDs (Async)","pixel",10.3625204,2.99375e-05,0x0000000000000004,0x0000000000000072,0x0000000000000020,0x0000000000000033
"Addressable LEDs (Async)","pixel",10.3625504,2.99375e-05,0x0000000000000005,0x0000000000000046,0x0000000000000012,0x0000000000000072
"Addressable LEDs (Async)","pixel",10.3625804,3e-05,0x0000000000000006,0x00000000000000BD,0x000000000000007B,0x0000000000000079
"Addressable LEDs (Async)","pixel",10.3626105,3e-05,0x0000000000000007,0x0000000000000074,0x00000000000000BE,0x0000000000000079
"Addressable LEDs (Async)","pixel",13.3632987,2.99375e-05,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",13.3633287,2.99375e-05,0x0000000000000001,0x0000000000000000,0x0000000000000000,0x0000000000000000
"Addressable LEDs (Async)","pixel",13.3633587,2.99375e-05,0x0000000000000002,0x0000000000000000,0x0000000000000000,0x0000000000000000
